127.0.0.1 - - [22/Jun/2023:12:32:40 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:32:47 +0900] "GET /board HTTP/1.1" 200 13821
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:32:47 +0900] "GET /resources/css/naviStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:32:47 +0900] "GET /resources/css/commonStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:32:47 +0900] "GET /resources/image/main_logo(black%20stic).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:32:47 +0900] "GET /resources/image/main_logo(black).png HTTP/1.1" 200 326241
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:33:05 +0900] "GET /board HTTP/1.1" 200 13821
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:33:05 +0900] "GET /resources/css/naviStyles.css HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:33:05 +0900] "GET /resources/css/commonStyles.css HTTP/1.1" 200 2288
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:33:05 +0900] "GET /resources/image/main_logo(black).png HTTP/1.1" 200 326241
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:33:05 +0900] "GET /resources/image/main_logo(black%20stic).png HTTP/1.1" 200 95440
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:33:06 +0900] "GET /resources/favicon.ico HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:38:04 +0900] "GET /board HTTP/1.1" 200 13821
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:38:04 +0900] "GET /resources/css/naviStyles.css HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:38:04 +0900] "GET /resources/css/commonStyles.css HTTP/1.1" 200 2288
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:38:04 +0900] "GET /resources/image/main_logo(black).png HTTP/1.1" 200 252186
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:38:04 +0900] "GET /resources/image/main_logo(black%20stic).png HTTP/1.1" 200 95440
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:38:04 +0900] "GET /resources/favicon.ico HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:38:41 +0900] "GET /board HTTP/1.1" 200 13820
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:38:41 +0900] "GET /resources/css/naviStyles.css HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:38:41 +0900] "GET /resources/css/commonStyles.css HTTP/1.1" 200 2288
